,rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
10,136229130,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Single,25-34,White,Degree or diploma,Urban,1.0,,0.53489196,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.93644613
11,136947260,B (Attitudes to the CJS),Male,5 years but less than 10 years,,No,Own it outright,Married/Civil Partnered,75+,White,Apprenticeship or A/AS level,Urban,,4.0,0.65166515,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
12,147438230,C (Crime prevention and security),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,75+,White,None,Rural,2.0,,1.3891842,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.24614827,Not a victim of crime,Not very common,Not very common,Not very common,
13,136318080,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,Asian or Asian British,O level/GCSE,Urban,1.0,,1.0979965,D. Lack of discipline from parents,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Not at all common,Very common,
14,137011300,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Single,45-54,White,Apprenticeship or A/AS level,Urban,3.0,,1.0257725,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
15,136610310,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,4.0,,0.36891478,,,,,Not very worried,Fairly worried,,,Not at all worried,Not very worried,Not at all worried,-0.2057362,Not a victim of crime,Not at all common,Not at all common,Not at all common,
16,136602010,A (Experiences of the police),Male,2 years but less than 3 years,,Yes,Rent it,Separate,45-54,White,Degree or diploma,Urban,5.0,,0.50788426,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.93818706
17,136659080,D (Online Security),Male,20 years or longer,,No,Own it outright,Widowed,65-74,White,Apprenticeship or A/AS level,Urban,2.0,,0.46360654,G. Unemployment,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
18,136613110,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,No,Own it outright,Single,55-64,White,Apprenticeship or A/AS level,Urban,1.0,,0.48467332,,,,,Not at all worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.7708536,Not a victim of crime,Not very common,Not at all common,Not very common,
19,136842090,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,1.0,,1.2430142,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,2.4225326
20,147439070,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Separate,65-74,White,O level/GCSE,Urban,2.0,,0.59314346,,,,,Not at all worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.3885418,Not a victim of crime,Not at all common,Not at all common,Not at all common,
21,137091280,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Cohabiting,45-54,White,O level/GCSE,Urban,,1.0,1.5718786,E. Drugs,A bit unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
22,136044190,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,2.0,,2.0496182,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.8226912,Not a victim of crime,Not at all common,Not at all common,Not at all common,
23,147591040,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,4.0,,1.109896,E. Drugs,A bit unsafe,Very safe,Fairly safe,,,,,,,,,Victim of crime,Not very common,Not at all common,Not very common,
24,136941090,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Rural,5.0,,0.5459407,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,-0.25222567
25,147499200,D (Online Security),Male,5 years but less than 10 years,,Yes,Own it outright,Cohabiting,45-54,White,Apprenticeship or A/AS level,Urban,,2.0,0.5416493,Spontaneous: None of these,Very unsafe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
26,137000320,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Divorced,55-64,White,O level/GCSE,Urban,1.0,,0.6575168,D. Lack of discipline from parents,Very unsafe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Not very common,
27,136994150,C (Crime prevention and security),Male,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,1.0,,0.82403934,,,,,Not very worried,Fairly worried,,,Not at all worried,Not very worried,Not at all worried,-0.2057362,Not a victim of crime,Not very common,Not very common,Not very common,
28,136088080,D (Online Security),Female,Less than 12 months,No,Yes,Rent it,Divorced,55-64,White,Other,Urban,2.0,,0.5517823,B. Poverty,A bit unsafe,Fairly safe,A bit unsafe,,,,,,,,,Victim of crime,Not very common,Not at all common,Not at all common,
29,147272190,C (Crime prevention and security),Male,20 years or longer,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Cohabiting,65-74,White,None,Rural,4.0,,1.1895833,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.5142137,Not a victim of crime,Not at all common,Not at all common,Not at all common,
30,137087210,A (Experiences of the police),Female,20 years or longer,Yes,No,Rent it,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,,4.0,0.47530973,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
31,136608020,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Widowed,75+,White,Other,Rural,4.0,,0.6184649,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
32,136040300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,2.0,,1.1443264,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
33,136578220,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,3.0,,3.2637796,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
34,136726270,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Rent it,Single,45-54,White,Degree or diploma,Urban,2.0,,0.6398191,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.010491609,Victim of crime,Fairly common,Not very common,Very common,
35,136442170,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Divorced,45-54,White,None,Urban,2.0,,0.6374485,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.23594216
36,136697180,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Rent it,Single,55-64,White,O level/GCSE,Urban,2.0,,1.1741449,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
37,147439050,A (Experiences of the police),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Widowed,65-74,Chinese or Other,Degree or diploma,Urban,2.0,,0.58592474,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,0.19084948
38,136087150,C (Crime prevention and security),Female,5 years but less than 10 years,,No,Own it outright,Single,45-54,White,Degree or diploma,Rural,4.0,,0.5342842,,,,,Not very worried,Not very worried,,,Not very worried,Fairly worried,Not at all worried,0.063062444,Not a victim of crime,Not at all common,Not at all common,Not at all common,
39,136274030,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Other,Urban,1.0,,1.3014526,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04175851,Not a victim of crime,Not very common,Not very common,Not very common,
40,137122140,B (Attitudes to the CJS),Male,3 years but less than 5 years,,No,Rent it,Cohabiting,25-34,White,O level/GCSE,Urban,1.0,,1.3986621,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
41,147288160,D (Online Security),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Apprenticeship or A/AS level,Urban,1.0,,1.4625118,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
42,147342110,C (Crime prevention and security),Male,Less than 12 months,No,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,Asian or Asian British,Apprenticeship or A/AS level,Urban,5.0,,2.0474827,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not very worried,-0.22630692,Not a victim of crime,Not at all common,Not at all common,Not at all common,
43,147500130,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,,5.0,0.76738477,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,-1.2152667
44,136895250,A (Experiences of the police),Male,12 months but less than 2 years,Yes,No,Rent it,Single,45-54,White,None,Urban,1.0,,0.6628192,,,,,,,,,,,,,Victim of crime,Fairly common,Not very common,Not very common,
45,136203160,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,4.0,,0.9228493,G. Unemployment,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
46,136236100,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,1.0,,0.96603435,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
47,135304150,C (Crime prevention and security),Male,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,1.0,,0.99474347,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.131902,Not a victim of crime,Not very common,Not at all common,Not very common,
48,147368010,A (Experiences of the police),Female,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Divorced,55-64,White,Degree or diploma,Urban,2.0,,1.1452156,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.062394336
49,137225090,A (Experiences of the police),Female,12 months but less than 2 years,Yes,No,Rent it,Single,25-34,White,O level/GCSE,Urban,,2.0,0.3171774,,,,,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,0.012643457
50,147560250,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,55-64,White,None,Urban,2.0,,0.5031277,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1.2152667
51,147321260,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Divorced,65-74,White,None,Urban,5.0,,0.47684866,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
52,136192230,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,5.0,,0.8920605,,,,,Not very worried,Not very worried,,,Not very worried,Not at all worried,Not at all worried,-0.555359,Victim of crime,Not at all common,Not at all common,Not at all common,
53,136577010,A (Experiences of the police),Female,10 years but less than 20 years,,No,Rent it,Widowed,65-74,White,None,Urban,2.0,,0.53536296,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
54,135638300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Separate,35-44,White,O level/GCSE,Rural,4.0,,0.27720377,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Fairly common,Not at all common,Not very common,
55,136536220,B (Attitudes to the CJS),Female,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Degree or diploma,Rural,5.0,,0.61240864,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,
56,147376320,D (Online Security),Male,2 years but less than 3 years,,Yes,Rent it,Single,16-24,White,O level/GCSE,Urban,3.0,,1.6647588,G. Unemployment,Fairly safe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Fairly common,
57,136913020,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,16-24,White,O level/GCSE,Urban,3.0,,1.7072576,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
58,136001140,B (Attitudes to the CJS),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,O level/GCSE,Urban,2.0,,2.9913356,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Fairly common,Not at all common,Not at all common,
59,137126220,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,2.0,,0.97005665,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
60,136920310,C (Crime prevention and security),Male,10 years but less than 20 years,,No,Own it outright,Widowed,55-64,White,Degree or diploma,Urban,5.0,,0.41806436,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.24614827,Not a victim of crime,Not at all common,Not at all common,Not at all common,
61,147285100,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,55-64,White,O level/GCSE,Urban,5.0,,0.51737255,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
62,147370260,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,3.0,,1.2045554,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
63,136143250,A (Experiences of the police),Male,20 years or longer,,No,Rent it,Married/Civil Partnered,65-74,White,None,Urban,1.0,,1.1004758,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.26341048
64,135533040,D (Online Security),Female,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,2.0,,0.6605377,J. The economy in general,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
65,136990140,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,1.0,,0.7347153,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
66,147416280,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,1.0,,1.2833706,A. Too lenient sentencing,A bit unsafe,A bit unsafe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
67,136474240,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,2.0,,0.4411937,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
68,136801170,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,5.0,,0.89415556,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.9503976
69,136386210,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,1.0,,1.0096776,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.46715972
70,136545100,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,,5.0,1.2078303,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
71,147444130,A (Experiences of the police),Female,3 years but less than 5 years,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,Chinese or Other,Degree or diploma,Urban,5.0,,1.3856027,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.31492445
72,136568030,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,3.0,,1.031158,,,,,Very worried,Very worried,,,Fairly worried,Fairly worried,Fairly worried,2.0371761,Not a victim of crime,Not at all common,Not at all common,Not at all common,
73,136991050,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,2.0,,1.2183169,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.24104086
74,137174200,D (Online Security),Female,Less than 12 months,No,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,5.0,,0.50012374,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
75,147525270,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Rural,3.0,,2.2832754,,,,,Fairly worried,Fairly worried,,,Not very worried,Not very worried,Not at all worried,0.3189691,Victim of crime,Not very common,Not very common,Not very common,
76,136403080,D (Online Security),Female,20 years or longer,,No,Rent it,Widowed,75+,White,Other,Urban,,2.0,0.63415796,J. The economy in general,Fairly safe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
77,136391120,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Rural,4.0,,0.6475835,D. Lack of discipline from parents,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
78,147383260,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,No,Rent it,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,2.0,,4.573134,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
79,136619070,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,1.0,,1.1421621,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.010491609,Victim of crime,Not at all common,Not at all common,Not at all common,
80,136747160,D (Online Security),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,1.0,,0.80073124,F. Alcohol,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
81,136100290,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,2.0,,0.86243397,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.2888662
82,136825240,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,Asian or Asian British,Other,Urban,2.0,,2.4417584,E. Drugs,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
83,136264090,A (Experiences of the police),Male,5 years but less than 10 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,65-74,White,None,Rural,,2.0,0.58816576,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
84,136997260,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,2.0,,1.7891743,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
85,136770270,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,3.0,,1.1251979,,,,,Fairly worried,Fairly worried,,,Not at all worried,Fairly worried,Not very worried,0.6480212,Victim of crime,Not very common,Not at all common,Not very common,
86,136890270,C (Crime prevention and security),Female,10 years but less than 20 years,Yes,No,Rent it,Cohabiting,35-44,White,O level/GCSE,Urban,1.0,,0.64896625,,,,,Very worried,Very worried,,,Very worried,Very worried,Very worried,2.9023592,Not a victim of crime,Not at all common,Not at all common,Not at all common,
87,147380040,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Single,35-44,Black or Black British,Apprenticeship or A/AS level,Urban,1.0,,1.5526562,E. Drugs,Very unsafe,A bit unsafe,Very unsafe,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,
88,136850230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,2.0,,1.4929974,,,,,Fairly worried,Fairly worried,,,Not very worried,Fairly worried,Not very worried,0.9160866,Not a victim of crime,Not at all common,Not at all common,Not at all common,
89,136031040,D (Online Security),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,Other,Urban,5.0,,0.73088545,D. Lack of discipline from parents,Very unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
90,136477010,A (Experiences of the police),Female,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3.0,,1.0052257,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,0.31448397
91,147458080,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Married/Civil Partnered,65-74,White,None,Rural,5.0,,0.9160226,E. Drugs,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
92,136259030,C (Crime prevention and security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Degree or diploma,Urban,2.0,,0.32809,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.5142137,Not a victim of crime,Not very common,Not very common,Not very common,
93,137070040,D (Online Security),Male,2 years but less than 3 years,,No,Own it outright,Married/Civil Partnered,45-54,White,O level/GCSE,Rural,1.0,,1.2281654,D. Lack of discipline from parents,Very safe,A bit unsafe,Don't know,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,
94,135596040,D (Online Security),Male,2 years but less than 3 years,,No,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2.0,,0.6890617,B. Poverty,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
95,136385090,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,3.0,,0.8722789,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.035197686
96,136014200,D (Online Security),Female,20 years or longer,,No,Rent it,Separate,55-64,White,None,Urban,1.0,,0.64007676,E. Drugs,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Very common,Very common,Very common,
97,137047010,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,3.0,,0.9997903,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,-1.2152667
98,135471170,A (Experiences of the police),Female,3 years but less than 5 years,Yes,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,5.0,,0.6842474,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.2152667
99,137107080,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Married/Civil Partnered,35-44,Asian or Asian British,O level/GCSE,Urban,2.0,,1.2627406,F. Alcohol,Very unsafe,Very unsafe,Very unsafe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
100,136446120,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,3.0,,1.0271286,Spontaneous: None of these,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
